ctr;country;pdi;idv;mas;uai;ltowvs;ivr
THA;Thailand;64.0;20.0;34.0;64.0;32.0;45.0
TRI;Trinidad and Tobago;47.0;16.0;58.0;55.0;13.0;80.0
TUR;Turkey;66.0;37.0;45.0;85.0;46.0;49.0
USA;U.S.A.;40.0;91.0;62.0;46.0;26.0;68.0
UGA;Uganda;;;;;24.0;52.0
UKR;Ukraine;;;;;86.0;14.0
URU;Uruguay;61.0;36.0;38.0;100.0;26.0;53.0
VEN;Venezuela;81.0;12.0;73.0;76.0;16.0;100.0
VIE;Vietnam;70.0;20.0;40.0;30.0;57.0;35.0
ZAM;Zambia;;;;;30.0;42.0
ZIM;Zimbabwe;;;;;15.0;28.0
